city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Malvik,Malvik,63.37,10.75,Norway,NO,NOR,Sør-Trøndelag,,14334,1578696010
Narvik,Narvik,68.44,17.43,Norway,NO,NOR,Nordland,minor,14148,1578744025
Bamble,Bamble,59.02,9.56,Norway,NO,NOR,Telemark,,14014,1578030718
Gran,Gran,60.44,10.50,Norway,NO,NOR,Oppland,,13611,1578913505
Drøbak,Drobak,59.67,10.63,Norway,NO,NOR,Akershus,,13393,1578855474
Grimstad,Grimstad,58.34,8.59,Norway,NO,NOR,Aust-Agder,minor,13304,1578703293
Strand,Strand,59.06,6.03,Norway,NO,NOR,Rogaland,,13070,1578528180
Notodden,Notodden,59.56,9.27,Norway,NO,NOR,Telemark,minor,12994,1578892380
Bømlo,Bomlo,59.78,5.22,Norway,NO,NOR,Hordaland,,11953,1578231177
Sogndal,Sogndal,61.23,7.10,Norway,NO,NOR,Sogn og Fjordane,minor,11938,1578132527
Lommedalen,Lommedalen,59.95,10.47,Norway,NO,NOR,Oslo,,11200,1578002364
Randaberg,Randaberg,59.00,5.62,Norway,NO,NOR,Rogaland,minor,11315,1578935358
Stokke,Stokke,59.24,10.27,Norway,NO,NOR,Vestfold,,11657,1578002148
Lenvik,Lenvik,69.38,17.97,Norway,NO,NOR,Troms,,11618,1578586323
Egersund,Egersund,58.45,6.01,Norway,NO,NOR,Rogaland,minor,11433,1578432421
Eidsberg,Eidsberg,59.54,11.36,Norway,NO,NOR,Østfold,,11396,1578040271
Søgne,Sogne,58.09,7.77,Norway,NO,NOR,Vest-Agder,minor,11260,1578522567
Tysvær,Tysvaer,59.36,5.54,Norway,NO,NOR,Rogaland,,11178,1578779090
Enebakk,Enebakk,59.76,11.14,Norway,NO,NOR,Akershus,,11065,1578782892
Ørsta,Orsta,62.20,6.13,Norway,NO,NOR,Møre og Romsdal,minor,10830,1578873602
Volda,Volda,62.15,6.07,Norway,NO,NOR,Møre og Romsdal,minor,10781,1578903172
Sortland,Sortland,68.70,15.41,Norway,NO,NOR,Nordland,minor,10514,1578250336
Heum,Heum,59.06,10.04,Norway,NO,NOR,Vestfold,,10449,1578756875
Lyngdal,Lyngdal,58.13,7.08,Norway,NO,NOR,Vest-Agder,minor,10464,1578630529
Kragerø,Kragero,58.89,9.35,Norway,NO,NOR,Telemark,minor,10416,1578172535
Levanger,Levanger,63.75,11.30,Norway,NO,NOR,Nord-Trøndelag,minor,10333,1578010304
Førde,Forde,61.45,5.86,Norway,NO,NOR,Sogn og Fjordane,minor,10339,1578914241
Sande,Sande,59.59,10.21,Norway,NO,NOR,Vestfold,,9904,1578002266
Farsund,Farsund,58.08,6.75,Norway,NO,NOR,Vest-Agder,minor,9645,1578528519
Fauske,Fauske,67.26,15.39,Norway,NO,NOR,Nordland,minor,9640,1578904094
Haram,Haram,62.57,6.37,Norway,NO,NOR,Møre og Romsdal,,9200,1578868176
Lunner,Lunner,60.25,10.67,Norway,NO,NOR,Oppland,,9062,1578195993
Flekkefjord,Flekkefjord,58.33,6.67,Norway,NO,NOR,Vest-Agder,minor,9027,1578438399
Florø,Floro,61.60,5.02,Norway,NO,NOR,Sogn og Fjordane,minor,8925,1578596650
Ulstein,Ulstein,62.36,5.85,Norway,NO,NOR,Møre og Romsdal,,8575,1578619519
Namsos,Namsos,64.47,11.49,Norway,NO,NOR,Nord-Trøndelag,minor,8471,1578576567
Skaun,Skaun,63.28,10.06,Norway,NO,NOR,Sør-Trøndelag,,8367,1578825550
Rakkestad,Rakkestad,59.37,11.42,Norway,NO,NOR,Østfold,minor,8222,1578031792
Hokksund,Hokksund,59.77,9.91,Norway,NO,NOR,Buskerud,minor,8138,1578339904
Hammerfest,Hammerfest,70.66,23.68,Norway,NO,NOR,Finnmark,minor,8073,1578368356
Åkrehamn,Akrehamn,59.26,5.19,Norway,NO,NOR,Rogaland,,7873,1578208239
