clearsky_day,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/clearsky_day.png
clearsky_night,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/clearsky_night.png
clearsky_polartwilight,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/clearsky_polartwilight.png
cloudy,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/cloudy.png
fair_day,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/fair_day.png
fair_night,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/fair_night.png
fair_polartwilight,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/fair_polartwilight.png
fog,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/fog.png
heavyrain,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/heavyrain.png
heavyrainandthunder,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/heavyrainandthunder.png
heavyrainshowers_day,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/heavyrainshowers_day.png
heavyrainshowers_night,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/heavyrainshowers_night.png
heavyrainshowers_polartwilight,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/heavyrainshowers_polartwilight.png
heavyrainshowersandthunder_day,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/heavyrainshowersandthunder_day.png
heavyrainshowersandthunder_night,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/heavyrainshowersandthunder_night.png
heavyrainshowersandthunder_polartwilight,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/heavyrainshowersandthunder_polartwilight.png
heavysleet,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/heavysleet.png
heavysleetandthunder,https://raw.githubusercontent.com/yosiefTecleab/sample_data_set/main/img/heavysleetandthunder.png
